cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Paperback,32,2003,4.46,15264,9358,3954,1616,224,112,1
Board Book,28,1997,4.17,15261,7447,4084,2803,744,183,1
Paperback,311,1995,3.86,15250,4802,5486,3495,976,491,0
Paperback,32,1992,4.23,15022,7403,4436,2621,420,142,1
Board Book,32,1995,4.16,14991,7006,4316,2942,542,185,1
Hardcover,186,1966,4.03,14905,5450,5195,3585,558,117,1
Hardcover,25,1989,4.54,14885,9977,3292,1315,206,95,1
Hardcover,58,2002,4.2,14655,7135,4119,2717,517,167,1
Hardcover,36,2007,4.159999999999999,14620,7163,3566,3040,705,146,1
Paperback,64,2003,4.26,14609,7649,3850,2514,435,161,1
Board Book,32,2020,4.08,14542,6295,4159,3183,738,167,1
Paperback,32,2002,4.38,14464,8648,3495,1686,425,210,1
Hardcover,62,2008,4.22,14442,6534,5064,2427,335,82,1
Hardcover,32,2006,4.36,14334,8515,3316,1812,514,177,1
Paperback,288,2003,4.03,14258,5569,4740,3020,711,218,1
Hardcover,58,2002,4.27,14231,7288,3987,2507,375,74,1
Hardcover,214,1991,3.9099999999999997,14141,4763,4485,3969,739,185,0
Hardcover,120,2003,3.64,14118,4295,3571,3775,1824,653,0
Paperback,40,1983,4.05,14027,6132,3939,2828,788,340,1
Hardcover,57,2007,4.33,13925,8057,3474,1644,421,329,1
Hardcover,40,2006,4.25,13916,7223,3829,2128,528,208,1
Paperback,32,1992,4.25,13889,7257,3789,2125,508,210,1
Paperback,32,1990,4.14,13854,6197,4273,2704,522,158,1
Paperback,224,2011,4.34,13806,8271,2953,1859,489,234,1
Hardcover,24,2001,4.17,13679,6729,3407,2875,525,143,1
Paperback,64,1984,4.31,13671,7466,3557,2215,339,94,1
Paperback,120,2007,3.9299999999999997,13660,5131,4110,3139,919,361,0
Paperback,67,1995,3.94,13464,5138,3754,3478,806,288,0
Paperback,62,1974,4.29,13305,6384,4654,1984,241,42,1
Board Book,36,2002,4.29,13279,7223,3538,1895,432,191,1
Hardcover,32,2016,4.35,13259,7447,3600,1752,340,120,1
Hardcover,96,2002,3.74,13248,3613,4199,4079,1132,225,0
Paperback,62,2012,4.2700000000000005,13214,6224,4650,2033,253,54,1
Hardcover,72,2017,4.359999999999999,13064,7052,4167,1424,300,121,1
Paperback,80,1977,4.03,12894,5366,3708,2901,650,269,1
Hardcover,48,2004,3.96,12880,4573,4098,3411,673,125,0
Paperback,232,2004,4.470000000000001,12821,8086,3130,1245,252,108,1
Paperback,160,2008,3.58,12758,2661,4283,4033,1326,455,0
Paperback,32,1986,4.159999999999999,12642,6427,2868,2561,572,214,1
Hardcover,40,2009,4.109999999999999,12594,5706,3428,2761,567,132,1
Hardcover,40,2005,4.24,12474,6390,3618,1770,459,237,1
Paperback,368,2009,3.9299999999999997,12445,4417,4343,2484,801,400,0
Paperback,128,2012,4.2700000000000005,12419,6831,3157,1699,421,311,1
Hardcover,40,2009,4.34,12379,6851,3439,1653,294,142,1
Paperback,64,1980,4.37,12361,7192,3140,1580,299,150,1
Hardcover,48,2005,4.23,12358,5972,3895,1953,385,153,1
Paperback,144,2003,3.67,12331,3739,2904,3891,1432,365,0
Paperback,32,2000,4.26,12328,6657,3119,1893,468,191,1
Paperback,62,2002,4.22,12233,5541,4274,2087,279,52,1
Paperback,102,1991,4.02,12155,4773,3910,2666,601,205,1
Paperback,32,1997,4.21,12095,5773,3666,2158,366,132,1
Paperback,224,2010,4.4,12018,7643,2379,1352,389,255,1
Hardcover,288,2011,4.28,11980,7468,1956,1456,622,478,1
Paperback,224,2014,4.359999999999999,11975,6580,3592,1458,222,123,1
Paperback,32,2004,4.43,11910,7149,3132,1349,196,84,1
Hardcover,48,2010,4.17,11893,5688,3292,2296,464,153,1
Paperback,24,2003,4.26,11871,6445,2786,2085,407,148,1
Paperback,306,2000,3.68,11764,3193,3624,3380,1138,429,0
Paperback,144,1990,3.9499999999999997,11746,4668,3327,2679,645,427,0
Hardcover,32,2005,4.22,11724,6086,3106,1795,486,251,1
Paperback,128,2002,4.23,11673,6778,2154,1737,612,392,1
Paperback,246,2005,4.04,11592,4447,4144,2239,541,221,1
Paperback,96,2009,4.01,11566,5315,2809,2175,800,467,1
Paperback,32,2005,4.14,11562,5168,3569,2298,386,141,1
Board Book,32,1995,4.19,11549,5718,3065,2116,487,163,1
Hardcover,57,2002,4.08,11544,4960,3437,2447,502,198,1
Paperback,40,2001,4.14,11464,5221,3361,2321,436,125,1
Board Book,32,2013,4.31,11429,6398,2953,1501,366,211,1
Paperback,240,1980,4.01,11429,4445,3753,2346,631,254,1
Hardcover,29,1986,4.5,11418,7391,2662,1097,186,82,1
Paperback,40,1974,4.24,11417,5658,3375,1950,333,101,1
Hardcover,32,2008,4.31,11397,6384,2942,1494,366,211,1
Paperback,160,2003,4.25,11201,5685,3226,1796,374,120,1
Paperback,128,2010,4.38,11186,6844,2392,1487,331,132,1
Paperback,111,2004,4.25,11171,5249,3873,1671,299,79,1
Paperback,32,1990,4.28,11144,5870,3123,1652,357,142,1
Hardcover,320,2006,4.25,11107,5548,3413,1644,366,136,1
Hardcover,52,2012,4.52,11102,7411,2504,856,216,115,1
Hardcover,32,1989,4.23,11093,5488,3204,1947,365,89,1
Hardcover,57,2002,4.15,11039,5087,3167,2276,418,91,1
Paperback,32,1997,4.01,11020,4297,3519,2426,549,229,1
Hardcover,64,2007,4.44,11011,6636,2979,1100,196,100,1
Paperback,32,2007,3.89,10927,3822,3439,2650,696,320,0
Paperback,24,2001,4.23,10916,5618,2735,2075,384,104,1
Paperback,32,2002,4.23,10864,5686,2634,2002,409,133,1
Paperback,256,2014,3.9299999999999997,10821,3583,4060,2304,616,258,0
Paperback,32,1985,3.88,10790,4027,2860,2829,718,356,0
Paperback,224,1991,4.1,10778,4084,4309,1920,361,104,1
Hardcover,40,2000,4.43,10762,6674,2596,1114,211,167,1
Hardcover,62,1999,4.05,10673,3946,3884,2384,397,62,1
Paperback,62,2007,4,10647,3609,3921,2676,391,50,0
Hardcover,40,2005,4.1899999999999995,10631,5453,2487,2114,424,153,1
